Movie Title,Year of Release,Genre,Movie Rating,Duration,Metascore,Votes,Gross,Worldwide LT Gross,
Avatar,2009,"Action,Adventure,Fantasy",7.8,162,83,1236962,63122330000,236333979137,
Avengers: Endgame,2019,"Action,Adventure,Drama",8.4,181,78,1108641,71244710000,232192610224,
Titanic,1997,"Drama,Romance",7.9,194,75,1162142,54724390000,182736722912,
Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi",7.8,138,80,925551,77742780000,171770301100,
Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.4,149,68,1062517,56342060000,170013859582,
Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy",8.3,148,71,735006,66794250000,158648901650,
Jurassic World,2015,"Action,Adventure,Sci-Fi",6.9,124,59,640590,54138410000,138737607852,
The Lion King,2019,"Animation,Adventure,Drama",6.8,118,55,244170,45122120000,138049790421,
The Avengers,2012,"Action,Adventure,Sci-Fi",8,143,69,1381149,51732240000,126061687745,
Fast & Furious 7,2015,"Action,Crime,Thriller",7.1,137,67,389484,29299830000,125773336117,
Frozen II,2019,"Animation,Adventure,Comedy",6.8,103,64,171270,39621710000,120352235439,
Top Gun: Maverick,2022,"Action,Drama",8.4,130,78,400255,39386820000,119581398752,
Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi",7.3,141,66,856080,38097830000,116433191820,
Black Panther,2018,"Action,Adventure,Sci-Fi",7.3,134,88,751667,58104980000,111850631759,
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Family,Fantasy",8.1,130,85,867676,31623830000,111415875186,
Star Wars: Episode VIII - The Last Jedi,2017,"Action,Adventure,Fantasy",6.9,152,84,627406,51474940000,110614002890,
Jurassic World: Fallen Kingdom,2018,"Action,Adventure,Sci-Fi",6.1,128,51,315318,34670760000,108768702568,
Frozen,2013,"Animation,Adventure,Comedy",7.4,102,75,621680,33261420000,106365172300,
Beauty and the Beast,2017,"Adventure,Family,Fantasy",7.1,129,65,308027,41832830000,105706826260,
Incredibles 2,2018,"Animation,Action,Adventure",7.6,118,80,295100,50512140000,103176407252,
The Fate of the Furious,2017,"Action,Crime,Thriller",6.6,136,56,231745,18758830000,102588424794,
